[Terrain]
datatype	ground_area_text_storage	version	1.0.0
30	1	water	-10000
31	1	water	-10000
32	1	water	-9891
33	1	water	-8738
34	1	water	-6432
35	1	water	-6377
36	1	water	-7530
37	1	water	-5553
38	1	water	-4730
39	1	water	-6102
40	1	water	-5828
41	1	water	-4620
42	1	water	-6212
43	1	water	-5608
44	1	water	-5059
45	1	water	-3412
46	1	water	-2918
47	1	water	-4346
48	1	water	-4181
49	1	water	-3797
50	1	water	-4071
51	1	water	-4620
52	1	water	-5608
53	1	water	-6487
54	1	water	-7695
55	1	water	-7859
56	1	water	-8244
57	1	water	-8573
58	1	water	-7914
59	1	water	-7640
60	1	water	-7640
61	1	water	-8024
62	1	water	-7475
63	1	water	-7750
64	1	water	-9012
65	1	water	-9616
66	1	water	-9671
67	1	water	-10000
68	1	water	-10000
69	1	water	-10000
70	1	water	-10000
71	1	water	-10000
72	1	water	-10000
73	1	water	-10000
74	1	water	-10000
75	1	water	-10000
76	1	water	-9891
77	1	water	-9946
78	1	water	-9891
79	1	water	-9616
80	1	water	-9671
81	1	water	-9616
82	1	water	-9726
83	1	water	-9726
84	1	water	-9891
85	1	water	-8573
86	1	water	-9342
87	1	water	-9397
88	1	water	-8299
89	1	water	-9122
90	1	water	-8738
91	1	water	-8793
92	1	water	-9781
93	1	water	-9946
94	1	water	-9836
95	1	water	-9726
96	1	water	-9891
97	1	water	-9891
98	1	water	-10000
99	1	water	-10000
100	1	water	-10000
101	1	water	-10000
102	1	water	-10000
103	1	water	-10000
104	1	water	-10000
105	1	water	-10000
106	1	water	-10000
107	1	water	-10000
108	1	water	-10000
109	1	water	-10000
110	1	water	-10000
111	1	water	-10000
112	1	water	-10000
113	1	water	-10000
114	1	water	-10000
115	1	water	-10000
116	1	water	-10000
117	1	water	-10000
118	1	water	-10000
119	1	water	-10000
120	1	water	-10000
121	1	water	-10000
122	1	water	-10000
123	1	water	-10000
124	1	water	-10000
125	1	water	-10000
126	1	water	-10000
127	1	water	-10000
128	1	water	-10000
129	1	water	-10000
130	1	water	-10000
131	1	water	-10000
132	1	water	-10000
133	1	water	-10000
134	1	water	-10000
135	1	water	-10000
136	1	water	-10000
137	1	water	-10000
138	1	water	-10000
139	1	water	-10000
140	1	water	-10000
141	1	water	-10000
142	1	water	-10000
143	1	water	-10000
144	1	water	-10000
145	1	water	-10000
146	1	water	-10000
147	1	water	-10000
148	1	water	-10000
149	1	water	-10000
150	1	water	-10000
151	1	water	-10000
152	1	water	-10000
153	1	water	-10000
154	1	water	-10000
155	1	water	-10000
156	1	water	-10000
157	1	water	-10000
158	1	water	-10000
159	1	water	-10000
160	1	water	-10000
161	1	water	-10000
162	1	water	-10000
163	1	water	-10000
164	1	water	-10000
165	1	water	-10000
166	1	water	-10000
167	1	water	-10000
168	1	water	-10000
169	1	water	-10000
170	1	water	-10000
171	1	water	-10000
172	1	water	-10000
173	1	water	-10000
174	1	water	-10000
175	1	water	-10000
176	1	water	-10000
177	1	water	-10000
178	1	water	-10000
179	1	water	-10000
180	1	water	-10000
181	1	water	-10000
182	1	water	-10000
183	1	water	-10000
184	1	water	-10000
185	1	water	-10000
186	1	water	-10000
187	1	water	-10000
188	1	water	-10000
189	1	water	-10000
190	1	water	-10000
191	1	water	-10000
192	1	water	-10000
193	1	water	-10000
194	1	water	-10000
195	1	water	-10000
196	1	water	-10000
197	1	water	-10000
198	1	water	-10000
199	1	water	-10000
0	2	water	-10000
1	2	water	-10000
2	2	water	-10000
3	2	water	-10000
4	2	water	-10000
5	2	water	-10000
6	2	water	-10000
7	2	water	-10000
8	2	water	-10000
9	2	water	-10000
10	2	water	-10000
11	2	water	-10000
12	2	water	-10000
13	2	water	-10000
14	2	water	-10000
15	2	water	-10000
16	2	water	-10000
17	2	water	-10000
18	2	water	-10000
19	2	water	-10000
20	2	water	-9946
21	2	water	-10000
22	2	water	-10000
23	2	water	-10000
24	2	water	-10000
25	2	water	-10000
26	2	water	-10000
27	2	water	-9891
28	2	water	-9891
29	2	water	-9946
30	2	water	-10000
31	2	water	-10000
32	2	water	-10000
33	2	water	-9616
34	2	water	-7695
35	2	water	-6487
36	2	water	-6542
37	2	water	-4675
38	2	water	-4950
39	2	water	-5773
40	2	water	-5114
41	2	water	-4730
42	2	water	-5993
43	2	water	-5883
44	2	water	-6212
45	2	water	-5279
46	2	water	-4565
47	2	water	-4785
48	2	water	-3577
49	2	water	-3357
50	2	water	-3632
51	2	water	-3797
52	2	water	-4895
53	2	water	-4950
54	2	water	-6651
55	2	water	-8079
56	2	water	-8793
57	2	water	-9067
58	2	water	-8573
59	2	water	-9287
60	2	water	-9012
61	2	water	-9177
62	2	water	-8463
63	2	water	-7695
64	2	water	-8628
65	2	water	-9067
66	2	water	-9506
67	2	water	-10000
68	2	water	-10000
69	2	water	-10000
70	2	water	-10000
71	2	water	-10000
72	2	water	-10000
73	2	water	-10000
74	2	water	-10000
75	2	water	-10000
76	2	water	-10000
77	2	water	-9891
78	2	water	-9067
79	2	water	-9342
80	2	water	-9451
81	2	water	-9232
82	2	water	-9122
83	2	water	-9506
84	2	water	-9671
85	2	water	-9287
86	2	water	-8463
87	2	water	-7640
88	2	water	-8079
89	2	water	-8353
90	2	water	-8079
91	2	water	-9342
92	2	water	-10000
93	2	water	-9781
94	2	water	-9781
95	2	water	-9177
96	2	water	-9122
97	2	water	-9397
98	2	water	-10000
99	2	water	-10000
100	2	water	-10000
101	2	water	-10000
102	2	water	-10000
103	2	water	-10000
104	2	water	-10000
105	2	water	-10000
106	2	water	-10000
107	2	water	-10000
108	2	water	-10000
109	2	water	-10000
110	2	water	-10000
111	2	water	-10000
112	2	water	-10000
113	2	water	-10000
114	2	water	-10000
115	2	water	-10000
116	2	water	-10000
117	2	water	-10000
118	2	water	-10000
119	2	water	-10000
120	2	water	-10000
121	2	water	-10000
122	2	water	-10000
123	2	water	-10000
124	2	water	-10000
125	2	water	-10000
126	2	water	-10000
127	2	water	-10000
128	2	water	-10000
129	2	water	-10000
130	2	water	-10000
131	2	water	-10000
132	2	water	-10000
133	2	water	-10000
134	2	water	-10000
135	2	water	-10000
136	2	water	-10000
137	2	water	-10000
138	2	water	-10000
139	2	water	-10000
140	2	water	-10000
141	2	water	-10000
142	2	water	-10000
143	2	water	-10000
144	2	water	-10000
145	2	water	-10000
146	2	water	-10000
147	2	water	-10000
148	2	water	-10000
149	2	water	-10000
150	2	water	-10000
151	2	water	-10000
152	2	water	-10000
153	2	water	-10000
154	2	water	-10000
155	2	water	-10000
156	2	water	-10000
157	2	water	-10000
158	2	water	-10000
159	2	water	-10000
160	2	water	-10000
161	2	water	-10000
162	2	water	-10000
163	2	water	-10000
164	2	water	-10000
165	2	water	-10000
166	2	water	-10000
167	2	water	-10000
168	2	water	-10000
169	2	water	-10000
170	2	water	-10000
171	2	water	-10000
172	2	water	-10000
173	2	water	-10000
174	2	water	-10000
175	2	water	-10000
176	2	water	-10000
177	2	water	-10000
178	2	water	-10000
179	2	water	-10000
180	2	water	-10000
181	2	water	-10000
182	2	water	-10000
183	2	water	-10000
184	2	water	-10000
185	2	water	-10000
186	2	water	-10000
187	2	water	-10000
188	2	water	-10000
189	2	water	-10000
190	2	water	-10000
191	2	water	-10000
192	2	water	-10000
193	2	water	-10000
194	2	water	-10000
195	2	water	-10000
196	2	water	-10000
197	2	water	-10000
198	2	water	-10000
199	2	water	-10000
0	3	water	-10000
1	3	water	-10000
2	3	water	-10000
3	3	water	-10000
4	3	water	-10000
5	3	water	-10000
6	3	water	-10000
7	3	water	-10000
8	3	water	-10000
9	3	water	-10000
10	3	water	-10000
11	3	water	-10000
12	3	water	-10000
13	3	water	-10000
14	3	water	-10000
15	3	water	-10000
16	3	water	-10000
17	3	water	-10000
18	3	water	-9946
19	3	water	-9836
20	3	water	-10000
21	3	water	-10000
22	3	water	-10000
23	3	water	-10000
24	3	water	-10000
25	3	water	-10000
26	3	water	-10000
27	3	water	-9946
28	3	water	-10000
29	3	water	-10000
30	3	water	-10000
31	3	water	-10000
32	3	water	-10000
33	3	water	-9726
34	3	water	-8518
35	3	water	-6432
36	3	water	-5773
37	3	water	-4950
38	3	water	-5059
39	3	water	-4510
40	3	water	-4620
41	3	water	-3742
42	3	water	-4675
43	3	water	-4950
44	3	water	-6267
45	3	water	-6157
46	3	water	-5553
47	3	water	-4236
48	3	water	-2259
49	3	water	-2808
50	3	water	-3083
51	3	water	-5059
52	3	water	-5773
53	3	water	-5828
54	3	water	-7146
55	3	water	-8079
56	3	water	-9122
57	3	water	-9067
58	3	water	-8628
59	3	water	-9177
60	3	water	-9397
61	3	water	-9506
62	3	water	-8902
63	3	water	-8299
64	3	water	-8353
65	3	water	-7640
66	3	water	-8957
67	3	water	-9891
68	3	water	-9836
69	3	water	-10000
70	3	water	-10000
71	3	water	-10000
72	3	water	-10000
73	3	water	-9946
74	3	water	-9836
75	3	water	-9506
76	3	water	-9891
77	3	water	-9946
78	3	water	-9067
79	3	water	-7859
80	3	water	-8902
81	3	water	-9122
82	3	water	-8793
83	3	water	-9067
84	3	water	-9506
85	3	water	-9561
86	3	water	-8738
87	3	water	-8134
88	3	water	-8793
89	3	water	-8518
90	3	water	-7750
91	3	water	-8628
92	3	water	-9506
93	3	water	-9946
94	3	water	-9561
95	3	water	-8353
96	3	water	-8738
97	3	water	-9451
98	3	water	-10000
99	3	water	-10000
100	3	water	-10000
101	3	water	-10000
102	3	water	-10000
103	3	water	-10000
104	3	water	-10000
105	3	water	-10000
106	3	water	-10000
107	3	water	-10000
108	3	water	-10000
109	3	water	-10000
110	3	water	-10000
111	3	water	-10000
112	3	water	-10000
113	3	water	-10000
114	3	water	-10000
115	3	water	-10000
116	3	water	-10000
117	3	water	-10000
118	3	water	-10000
119	3	water	-10000
120	3	water	-10000
121	3	water	-10000
122	3	water	-10000
123	3	water	-10000
124	3	water	-10000
125	3	water	-10000
126	3	water	-10000
127	3	water	-10000
128	3	water	-10000
129	3	water	-10000
130	3	water	-10000
131	3	water	-10000
132	3	water	-10000
133	3	water	-10000
134	3	water	-10000
135	3	water	-10000
136	3	water	-10000
137	3	water	-10000
138	3	water	-10000
139	3	water	-10000
140	3	water	-10000
141	3	water	-10000
142	3	water	-10000
143	3	water	-10000
144	3	water	-10000
145	3	water	-10000
146	3	water	-10000
147	3	water	-10000
148	3	water	-10000
149	3	water	-10000
150	3	water	-10000
151	3	water	-10000
152	3	water	-10000
153	3	water	-10000
154	3	water	-10000
155	3	water	-10000
156	3	water	-10000
157	3	water	-10000
158	3	water	-10000
159	3	water	-10000
160	3	water	-10000
161	3	water	-10000
162	3	water	-10000
163	3	water	-10000
164	3	water	-10000
165	3	water	-10000
166	3	water	-10000
167	3	water	-10000
168	3	water	-10000
169	3	water	-10000
170	3	water	-10000
171	3	water	-10000
172	3	water	-10000
173	3	water	-10000
174	3	water	-10000
175	3	water	-10000
176	3	water	-10000
177	3	water	-10000
178	3	water	-10000
179	3	water	-10000
180	3	water	-10000
181	3	water	-10000
182	3	water	-10000
183	3	water	-10000
184	3	water	-10000
185	3	water	-10000
186	3	water	-10000
187	3	water	-10000
188	3	water	-10000
189	3	water	-10000
190	3	water	-10000
191	3	water	-10000
192	3	water	-10000
193	3	water	-10000
194	3	water	-10000
195	3	water	-10000
196	3	water	-10000
197	3	water	-10000
198	3	water	-10000
199	3	water	-10000
0	4	water	-10000
1	4	water	-10000
2	4	water	-10000
3	4	water	-10000
4	4	water	-10000
5	4	water	-10000
6	4	water	-10000
7	4	water	-10000
8	4	water	-10000
9	4	water	-10000
10	4	water	-10000
11	4	water	-10000
12	4	water	-10000
13	4	water	-10000
14	4	water	-10000
15	4	water	-10000
16	4	water	-10000
17	4	water	-10000
18	4	water	-9946
19	4	water	-9781
20	4	water	-10000
21	4	water	-10000
22	4	water	-10000
23	4	water	-10000
24	4	water	-10000
25	4	water	-10000
26	4	water	-10000
27	4	water	-10000
28	4	water	-10000
29	4	water	-10000
30	4	water	-9946
31	4	water	-10000
32	4	water	-10000
33	4	water	-9781
34	4	water	-8518
35	4	water	-7146
36	4	water	-6377
37	4	water	-5444
38	4	water	-4565
39	4	water	-4620
40	4	water	-4126
41	4	water	-2973
42	4	water	-3467
43	4	water	-3742
44	4	water	-4730
45	4	water	-5169
46	4	water	-5059
47	4	water	-2808
48	4	water	-2259
49	4	water	-3028
50	4	water	-3357
51	4	water	-5553
52	4	water	-6981
53	4	water	-7365
54	4	water	-7585
55	4	water	-7146
56	4	water	-8024
57	4	water	-9287
58	4	water	-7750
59	4	water	-7969
60	4	water	-8299
61	4	water	-9012
62	4	water	-7969
63	4	water	-8024
64	4	water	-7146
65	4	water	-7530
66	4	water	-8628
67	4	water	-9616
68	4	water	-9342
69	4	water	-9671
70	4	water	-9616
71	4	water	-9891
72	4	water	-9946
73	4	water	-9287
74	4	water	-8299
75	4	water	-8902
76	4	water	-8628
77	4	water	-9287
78	4	water	-9067
79	4	water	-8353
80	4	water	-8024
81	4	water	-8848
82	4	water	-9177
83	4	water	-9726
84	4	water	-9891
85	4	water	-9561
86	4	water	-9726
87	4	water	-9287
88	4	water	-8793
89	4	water	-8683
90	4	water	-7310
91	4	water	-8079
92	4	water	-9397
93	4	water	-9946
94	4	water	-9561
95	4	water	-9177
96	4	water	-9287
97	4	water	-9342
98	4	water	-9891
99	4	water	-10000
100	4	water	-10000
101	4	water	-10000
102	4	water	-10000
103	4	water	-10000
104	4	water	-9671
105	4	water	-9946
106	4	water	-10000
107	4	water	-10000
108	4	water	-10000
109	4	water	-10000
110	4	water	-10000
111	4	water	-10000
112	4	water	-10000
113	4	water	-10000
114	4	water	-10000
115	4	water	-10000
116	4	water	-10000
117	4	water	-10000
118	4	water	-10000
119	4	water	-10000
120	4	water	-10000
121	4	water	-10000
122	4	water	-10000
123	4	water	-10000
124	4	water	-10000
125	4	water	-10000
126	4	water	-10000
127	4	water	-10000
128	4	water	-10000
129	4	water	-10000
130	4	water	-10000
131	4	water	-10000
132	4	water	-10000
133	4	water	-10000
134	4	water	-10000
135	4	water	-10000
136	4	water	-10000
137	4	water	-10000
138	4	water	-10000
139	4	water	-10000
140	4	water	-10000
141	4	water	-10000
142	4	water	-10000
143	4	water	-10000
144	4	water	-10000
145	4	water	-10000
146	4	water	-10000
147	4	water	-10000
148	4	water	-10000
149	4	water	-10000
150	4	water	-10000
151	4	water	-10000
152	4	water	-10000
153	4	water	-10000
154	4	water	-10000
155	4	water	-10000
156	4	water	-10000
157	4	water	-10000
158	4	water	-10000
159	4	water	-10000
160	4	water	-10000
161	4	water	-10000
162	4	water	-10000
163	4	water	-10000
164	4	water	-10000
165	4	water	-10000
166	4	water	-10000
167	4	water	-10000
168	4	water	-10000
169	4	water	-10000
170	4	water	-10000
171	4	water	-10000
172	4	water	-10000
173	4	water	-10000
174	4	water	-10000
175	4	water	-10000
176	4	water	-10000
177	4	water	-10000
178	4	water	-10000
179	4	water	-10000
180	4	water	-10000
181	4	water	-10000
182	4	water	-10000
183	4	water	-10000
184	4	water	-10000
185	4	water	-10000
186	4	water	-10000
187	4	water	-10000
188	4	water	-10000
189	4	water	-10000
190	4	water	-10000
191	4	water	-10000
192	4	water	-10000
193	4	water	-10000
194	4	water	-10000
195	4	water	-10000
196	4	water	-10000
197	4	water	-10000
198	4	water	-10000
199	4	water	-10000
0	5	water	-10000
1	5	water	-10000
2	5	water	-10000
3	5	water	-10000
4	5	water	-10000
5	5	water	-10000
6	5	water	-10000
7	5	water	-10000
8	5	water	-10000
9	5	water	-10000
10	5	water	-10000
11	5	water	-10000
12	5	water	-10000
13	5	water	-10000
14	5	water	-10000
15	5	water	-10000
16	5	water	-10000
17	5	water	-10000
18	5	water	-10000
19	5	water	-10000
20	5	water	-10000
21	5	water	-10000
22	5	water	-10000
23	5	water	-10000
24	5	water	-10000
25	5	water	-10000
26	5	water	-10000
27	5	water	-10000
28	5	water	-10000
29	5	water	-10000
30	5	water	-9836
31	5	water	-10000
32	5	water	-10000
33	5	water	-9891
34	5	water	-9561
35	5	water	-8683
36	5	water	-6487
37	5	water	-5773
38	5	water	-4895
39	5	water	-5114
40	5	water	-4730
41	5	water	-2644
42	5	water	-2973
43	5	water	-3522
44	5	water	-4455
45	5	water	-5663
46	5	water	-4291
47	5	water	-2589
48	5	water	-3083
49	5	water	-3632
50	5	water	-4126
51	5	water	-5773
52	5	water	-6761
53	5	water	-7969
54	5	water	-7859
55	5	water	-7640
56	5	water	-7695
57	5	water	-7914
58	5	water	-6871
59	5	water	-7640
60	5	water	-7750
61	5	water	-8024
62	5	water	-7585
63	5	water	-7585
64	5	water	-7750
65	5	water	-8518
66	5	water	-8518
67	5	water	-8408
68	5	water	-8573
69	5	water	-8957
70	5	water	-8244
71	5	water	-7969
72	5	water	-8738
73	5	water	-7695
74	5	water	-7585
75	5	water	-8683
76	5	water	-9946
77	5	water	-8902
78	5	water	-7859
79	5	water	-7914
80	5	water	-8793
81	5	water	-8518
82	5	water	-9122
83	5	water	-9287
84	5	water	-8957
85	5	water	-9232
86	5	water	-9671
87	5	water	-9451
88	5	water	-9122
89	5	water	-8738
90	5	water	-7255
91	5	water	-8518
92	5	water	-8902
93	5	water	-9397
94	5	water	-8957
95	5	water	-8463
96	5	water	-9616
97	5	water	-9397
98	5	water	-9726
99	5	water	-9891
100	5	water	-10000
101	5	water	-10000
102	5	water	-9946
103	5	water	-9726
104	5	water	-9616
105	5	water	-9891
106	5	water	-10000
107	5	water	-10000
108	5	water	-10000
109	5	water	-10000
110	5	water	-10000
111	5	water	-10000
112	5	water	-10000
113	5	water	-10000
114	5	water	-10000
115	5	water	-10000
116	5	water	-10000
117	5	water	-10000
118	5	water	-10000
119	5	water	-10000
120	5	water	-10000
121	5	water	-10000
122	5	water	-10000
123	5	water	-10000
124	5	water	-10000
125	5	water	-10000
126	5	water	-10000
127	5	water	-10000
128	5	water	-10000
129	5	water	-10000
130	5	water	-10000
131	5	water	-10000
132	5	water	-10000
133	5	water	-10000
134	5	water	-10000
135	5	water	-10000
136	5	water	-10000
137	5	water	-10000
138	5	water	-10000
139	5	water	-10000
140	5	water	-10000
141	5	water	-10000
142	5	water	-10000
143	5	water	-10000
144	5	water	-10000
145	5	water	-10000
146	5	water	-10000
147	5	water	-10000
148	5	water	-10000
149	5	water	-10000
150	5	water	-10000
151	5	water	-10000
152	5	water	-10000
153	5	water	-10000
154	5	water	-10000
155	5	water	-10000
156	5	water	-10000
157	5	water	-10000
158	5	water	-10000
159	5	water	-10000
160	5	water	-10000
161	5	water	-10000
162	5	water	-10000
163	5	water	-10000
164	5	water	-10000
165	5	water	-10000
166	5	water	-10000
167	5	water	-10000
168	5	water	-10000
169	5	water	-10000
170	5	water	-10000
171	5	water	-10000
172	5	water	-10000
173	5	water	-10000
174	5	water	-10000
175	5	water	-10000
176	5	water	-10000
177	5	water	-10000
178	5	water	-10000
179	5	water	-10000
180	5	water	-10000
181	5	water	-10000
182	5	water	-10000
183	5	water	-10000
184	5	water	-10000
185	5	water	-10000
186	5	water	-10000
187	5	water	-10000
188	5	water	-10000
189	5	water	-10000
190	5	water	-10000
191	5	water	-10000
192	5	water	-10000
193	5	water	-10000
194	5	water	-10000
195	5	water	-10000
196	5	water	-10000
197	5	water	-10000
198	5	water	-10000
199	5	water	-10000
0	6	water	-10000
1	6	water	-10000
2	6	water	-10000
3	6	water	-10000
4	6	water	-10000
5	6	water	-10000
6	6	water	-10000
7	6	water	-10000
8	6	water	-10000
9	6	water	-10000
10	6	water	-10000
11	6	water	-10000
12	6	water	-10000
13	6	water	-10000
14	6	water	-10000
15	6	water	-10000
16	6	water	-10000
17	6	water	-10000
18	6	water	-10000
19	6	water	-10000
20	6	water	-10000
21	6	water	-10000
22	6	water	-10000
23	6	water	-10000
24	6	water	-10000
25	6	water	-10000
26	6	water	-10000
27	6	water	-10000
28	6	water	-10000
29	6	water	-10000
30	6	water	-10000
31	6	water	-10000
32	6	water	-10000
33	6	water	-10000
34	6	water	-9946
35	6	water	-9616
36	6	water	-8957
37	6	water	-6761
38	6	water	-5718
39	6	water	-5773
40	6	water	-4785
41	6	water	-3412
42	6	water	-3742
43	6	water	-2753
44	6	water	-4016
45	6	water	-4510
46	6	water	-4510
47	6	water	-4236
48	6	water	-4346
49	6	water	-5059
50	6	water	-5389
51	6	water	-6597
52	6	water	-6267
53	6	water	-7200
54	6	water	-7530
55	6	water	-6816
56	6	water	-7200
57	6	water	-8848
58	6	water	-7640
59	6	water	-8408
60	6	water	-8518
61	6	water	-7036
62	6	water	-6432
63	6	water	-6651
64	6	water	-8079
65	6	water	-8079
66	6	water	-8628
67	6	water	-8189
68	6	water	-7475
69	6	water	-7859
70	6	water	-7255
71	6	water	-7475
72	6	water	-7310
73	6	water	-6871
74	6	water	-7859
75	6	water	-9287
76	6	water	-9891
77	6	water	-9177
78	6	water	-8189
79	6	water	-7750
80	6	water	-9067
81	6	water	-8793
82	6	water	-7914
83	6	water	-7914
84	6	water	-8573
85	6	water	-8793
86	6	water	-9397
87	6	water	-9561
88	6	water	-9781
89	6	water	-9012
90	6	water	-8463
91	6	water	-8683
92	6	water	-9287
93	6	water	-9506
94	6	water	-9342
95	6	water	-8518
96	6	water	-7914
97	6	water	-8957
98	6	water	-9451
99	6	water	-9891
100	6	water	-10000
101	6	water	-10000
102	6	water	-9781
103	6	water	-9561
104	6	water	-9342
105	6	water	-10000
106	6	water	-9891
107	6	water	-9891
108	6	water	-9946
109	6	water	-10000
110	6	water	-10000
111	6	water	-10000
112	6	water	-10000
113	6	water	-10000
114	6	water	-10000
115	6	water	-10000
116	6	water	-10000
117	6	water	-10000
118	6	water	-10000
119	6	water	-10000
120	6	water	-10000
121	6	water	-10000
122	6	water	-10000
123	6	water	-10000
124	6	water	-10000
125	6	water	-10000
126	6	water	-10000
127	6	water	-10000
128	6	water	-10000
129	6	water	-10000
130	6	water	-10000
131	6	water	-10000
132	6	water	-10000
133	6	water	-10000
134	6	water	-10000
135	6	water	-10000
136	6	water	-10000
137	6	water	-10000
138	6	water	-10000
139	6	water	-10000
140	6	water	-10000
141	6	water	-10000
142	6	water	-10000
143	6	water	-10000
144	6	water	-10000
145	6	water	-10000
146	6	water	-10000
147	6	water	-10000
148	6	water	-10000
149	6	water	-10000
150	6	water	-10000
151	6	water	-10000
152	6	water	-10000
153	6	water	-10000
154	6	water	-10000
155	6	water	-10000
156	6	water	-10000
157	6	water	-10000
158	6	water	-10000
159	6	water	-10000
160	6	water	-10000
161	6	water	-10000
162	6	water	-10000
163	6	water	-10000
164	6	water	-10000
165	6	water	-10000
166	6	water	-10000
167	6	water	-10000
168	6	water	-10000
169	6	water	-10000
170	6	water	-10000
171	6	water	-10000
172	6	water	-10000
173	6	water	-10000
174	6	water	-10000
175	6	water	-10000
176	6	water	-10000
177	6	water	-10000
178	6	water	-10000
179	6	water	-10000
180	6	water	-10000
181	6	water	-10000
182	6	water	-10000
183	6	water	-10000
184	6	water	-10000
185	6	water	-10000
186	6	water	-10000
187	6	water	-10000
188	6	water	-10000
